trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
539,False,"{'a': 0.002, 'e': 0.47485241537185147}",20,10,7.161707395831359,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
540,False,"{'a': 0.002, 'e': 0.47309133595515224}",25,15,15.102280731625727,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
541,False,"{'a': 0.002, 'e': 0.47132836417373997}",20,2,2.1606688338535753,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
542,False,"{'a': 0.002, 'e': 0.46956350707949945}",30,16,-1.1857992149597272,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
543,False,"{'a': 0.002, 'e': 0.4677967717318567}",25,1,-33.30524513571205,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 1}",1
544,False,"{'a': 0.002, 'e': 0.46602816519775075}",25,7,15.724302646364132,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
545,False,"{'a': 0.002, 'e': 0.46425769455160537}",20,5,-10.376340206887114,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 0}",1
546,False,"{'a': 0.002, 'e': 0.4624853668753008}",30,12,13.95935410119789,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
547,False,"{'a': 0.002, 'e': 0.46071118925814536}",25,7,-29.021185652530043,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
548,False,"{'a': 0.002, 'e': 0.4589351687968472}",25,11,25.871473061945835,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
549,False,"{'a': 0.002, 'e': 0.45715731259548575}",25,12,9.491954544871259,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
550,False,"{'a': 0.002, 'e': 0.45537762776548346}",25,18,1.977605730361832,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
551,False,"{'a': 0.002, 'e': 0.4535961214255773}",20,6,-22.96134109173423,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
552,False,"{'a': 0.002, 'e': 0.4518128007017902}",35,8,-51.524678985589624,"{0: 21, 1: 3, 2: 1, 3: 1, 4: 1}",1
553,False,"{'a': 0.002, 'e': 0.45002767272740274}",25,20,8.24127609158733,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
554,False,"{'a': 0.002, 'e': 0.4482407446429244}",20,12,-0.19020694236523195,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
555,False,"{'a': 0.002, 'e': 0.4464520235960651}",25,9,-38.70435717363398,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
556,False,"{'a': 0.002, 'e': 0.4446615167417068}",20,0,-65.1981698598457,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",1
557,False,"{'a': 0.002, 'e': 0.4428692312418743}",25,10,9.694402078353718,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
558,False,"{'a': 0.002, 'e': 0.44107517426570736}",20,0,-64.5523215564555,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
559,False,"{'a': 0.002, 'e': 0.43927935298943144}",20,1,23.363460163276308,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
560,False,"{'a': 0.002, 'e': 0.4374817745963293}",20,0,-19.916212571272993,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
561,False,"{'a': 0.002, 'e': 0.4356824462767121}",25,17,-9.804698214396595,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
562,False,"{'a': 0.002, 'e': 0.43388137522789066}",20,0,-42.04281887733407,"{0: 14, 1: 0, 2: 6, 3: 0, 4: 0}",0
563,False,"{'a': 0.002, 'e': 0.4320785686541468}",20,9,-39.45208827532343,"{0: 6, 1: 1, 2: 4, 3: 0, 4: 0}",1
564,False,"{'a': 0.002, 'e': 0.4302740337667045}",35,11,-19.775885305230645,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 0}",1
565,False,"{'a': 0.002, 'e': 0.42846777778370077}",20,14,-29.61581683788112,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
566,False,"{'a': 0.002, 'e': 0.42665980793015723}",20,10,5.129371998748016,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
567,False,"{'a': 0.002, 'e': 0.4248501314379508}",20,5,5.743248488329406,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
568,False,"{'a': 0.002, 'e': 0.42303875554578513}",20,8,-1.5523234536374346,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
569,False,"{'a': 0.002, 'e': 0.42122568749916134}",20,13,-16.25669171185476,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 0}",1
570,False,"{'a': 0.002, 'e': 0.41941093455034917}",20,4,-11.49249356627209,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 0}",1
571,False,"{'a': 0.002, 'e': 0.41759450395835795}",25,2,-98.40323472044501,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 3}",1
572,False,"{'a': 0.002, 'e': 0.4157764029889078}",25,15,17.92504310388902,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
573,False,"{'a': 0.002, 'e': 0.4139566389144}",20,0,-116.49212858794303,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
574,False,"{'a': 0.002, 'e': 0.4121352190138885}",25,16,-9.667539032446653,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
575,False,"{'a': 0.002, 'e': 0.4103121505730504}",20,9,4.927911516306085,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
576,False,"{'a': 0.002, 'e': 0.40848744088415717}",25,11,-23.633751090801074,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
577,False,"{'a': 0.002, 'e': 0.40666109724604504}",20,16,7.433006769304714,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
578,False,"{'a': 0.002, 'e': 0.4048331269640863}",20,9,-65.6214670399084,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 2}",1
579,False,"{'a': 0.002, 'e': 0.4030035373501593}",20,2,-30.249916947990588,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 1}",1
580,False,"{'a': 0.002, 'e': 0.4011723357226203}",30,0,-51.42905188607911,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
581,False,"{'a': 0.002, 'e': 0.3993395294062732}",20,12,1.880313271651669,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
582,False,"{'a': 0.002, 'e': 0.39750512573234104}",25,1,13.450342378967235,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 0}",1
583,False,"{'a': 0.002, 'e': 0.39566913203843584}",25,9,-38.71908934104496,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
584,False,"{'a': 0.002, 'e': 0.3938315556685301}",35,20,6.914246651903982,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
585,False,"{'a': 0.002, 'e': 0.39199240397292684}",20,14,0.36894261781027016,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
586,False,"{'a': 0.002, 'e': 0.3901516843082303}",25,13,12.756386800951041,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
587,False,"{'a': 0.002, 'e': 0.38830940403731673}",20,8,13.502311076240627,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
588,False,"{'a': 0.002, 'e': 0.38646557052930475}",25,15,8.935173798409153,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
589,False,"{'a': 0.002, 'e': 0.38462019115952595}",20,0,-43.342953902448045,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
590,False,"{'a': 0.002, 'e': 0.38277327330949534}",20,2,-1.0262396970489653,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
591,False,"{'a': 0.002, 'e': 0.38092482436688185}",25,11,-0.981124158774112,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
592,False,"{'a': 0.002, 'e': 0.3790748517254788}",35,23,-48.60173337876257,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 1}",1
593,False,"{'a': 0.002, 'e': 0.37722336278517427}",25,4,11.285845156963633,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
594,False,"{'a': 0.002, 'e': 0.37537036495192155}",20,9,4.173708520020689,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
595,False,"{'a': 0.002, 'e': 0.37351586563770955}",25,0,-28.02425482757494,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
596,False,"{'a': 0.002, 'e': 0.371659872260533}",20,10,2.8496139722251415,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
597,False,"{'a': 0.002, 'e': 0.36980239224436295}",25,17,18.157056184217033,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
598,False,"{'a': 0.002, 'e': 0.367943433019117}",20,15,10.527705881683147,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.002, 'e': 0.36608300202062954}",20,3,20.65881874299695,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
600,False,"{'a': 0.002, 'e': 0.36422110669062213}",20,9,17.03308219468208,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
601,False,"{'a': 0.002, 'e': 0.3623577544766736}",20,14,6.956134888315352,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
602,False,"{'a': 0.002, 'e': 0.3604929528321903}",30,11,0.5182137482812101,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
603,False,"{'a': 0.002, 'e': 0.35862670921637635}",30,16,13.982302580306584,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
604,False,"{'a': 0.002, 'e': 0.35675903109420365}",25,9,19.682828293944265,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
605,False,"{'a': 0.002, 'e': 0.3548899259363823}",20,7,18.028484637353447,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
606,False,"{'a': 0.002, 'e': 0.3530194012193304}",30,20,-29.909454942220716,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
607,False,"{'a': 0.002, 'e': 0.3511474644251443}",20,6,20.127577938983627,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.002, 'e': 0.34927412304156863}",30,19,-33.32553301707015,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
609,False,"{'a': 0.002, 'e': 0.34739938456196656}",25,12,-8.662967810676596,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
610,False,"{'a': 0.002, 'e': 0.3455232564852894}",30,10,-59.96161854696802,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",1
611,False,"{'a': 0.002, 'e': 0.34364574631604705}",20,6,-19.101989051841695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
612,False,"{'a': 0.002, 'e': 0.3417668615642776}",30,14,4.959308570137981,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
613,False,"{'a': 0.002, 'e': 0.3398866097455176}",20,9,-34.19815273504893,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
614,False,"{'a': 0.002, 'e': 0.33800499838077175}",35,15,16.31623055950088,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",1
615,False,"{'a': 0.002, 'e': 0.3361220349964831}",20,16,7.276098991371218,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
616,False,"{'a': 0.002, 'e': 0.3342377271245026}",25,2,22.37059913723934,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
617,False,"{'a': 0.002, 'e': 0.33235208230205926}",25,0,-26.792223311602783,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
618,False,"{'a': 0.002, 'e': 0.33046510807172985}",30,19,5.883779971171091,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
619,False,"{'a': 0.002, 'e': 0.3285768119814088}",25,3,23.283314874670225,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
620,False,"{'a': 0.002, 'e': 0.3266872015842779}",20,0,9.26945061991376,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
621,False,"{'a': 0.002, 'e': 0.32479628443877623}",30,23,10.670683667010774,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
622,False,"{'a': 0.002, 'e': 0.3229040681085699}",30,15,25.882316110965043,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
623,False,"{'a': 0.002, 'e': 0.32101056016252166}",20,16,7.945755934718083,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.002, 'e': 0.3191157681746608}",30,0,1.862605899265049,"{0: 28, 1: 1, 2: 0, 3: 0, 4: 1}",0
625,False,"{'a': 0.002, 'e': 0.3172196997241527}",25,5,25.31765791307581,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
626,False,"{'a': 0.002, 'e': 0.3153223623952687}",25,10,-32.56813251601384,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 1}",1
627,False,"{'a': 0.002, 'e': 0.3134237637773555}",30,10,20.643704680966252,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
628,False,"{'a': 0.002, 'e': 0.3115239114648051}",20,0,-60.7410748297453,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",1
629,False,"{'a': 0.002, 'e': 0.3096228130570242}",20,13,12.392972354695502,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
630,False,"{'a': 0.002, 'e': 0.3077204761584039}",20,3,16.527819460187843,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
631,False,"{'a': 0.002, 'e': 0.30581690837828934}",25,3,-37.7697298950023,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 1}",1
632,False,"{'a': 0.002, 'e': 0.3039121173309489}",20,14,11.789779985230943,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
633,False,"{'a': 0.002, 'e': 0.30200611063554444}",20,6,-67.34668025921718,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 2}",1
634,False,"{'a': 0.002, 'e': 0.3000988959161001}",20,13,-13.80894754179855,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
635,False,"{'a': 0.002, 'e': 0.2981904808014722}",20,0,22.669224743079525,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
636,False,"{'a': 0.002, 'e': 0.29628087292531874}",30,13,23.391683271301766,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
637,False,"{'a': 0.002, 'e': 0.29437007992606856}",25,15,-32.041581943650286,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
638,False,"{'a': 0.002, 'e': 0.29245810944689116}",20,6,2.177509601367798,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
639,False,"{'a': 0.002, 'e': 0.29054496913566596}",20,14,9.380799527135801,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
640,False,"{'a': 0.002, 'e': 0.2886306666449516}",20,9,-56.389861259291514,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
641,False,"{'a': 0.002, 'e': 0.2867152096319555}",20,7,21.337610376111407,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
642,False,"{'a': 0.002, 'e': 0.28479860575850313}",20,8,24.06321096149754,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
643,False,"{'a': 0.002, 'e': 0.2828808626910075}",20,11,13.361362029261931,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
644,False,"{'a': 0.002, 'e': 0.28096198810043826}",30,14,21.821710847274378,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
645,False,"{'a': 0.002, 'e': 0.2790419896622912}",20,8,7.621944166009225,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
646,False,"{'a': 0.002, 'e': 0.2771208750565576}",25,16,8.510640450688022,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
647,False,"{'a': 0.002, 'e': 0.2751986519676933}",20,1,10.720080663870432,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
648,False,"{'a': 0.002, 'e': 0.273275328084588}",25,15,4.427073298137617,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
649,False,"{'a': 0.002, 'e': 0.2713509111005347}",20,6,0.4660684345511452,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
650,False,"{'a': 0.002, 'e': 0.26942540871319887}",25,0,-35.2097277120353,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
651,False,"{'a': 0.002, 'e': 0.26749882862458735}",35,16,-24.015444507142508,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
652,False,"{'a': 0.002, 'e': 0.265571178541018}",30,16,-92.64336674292522,"{0: 8, 1: 1, 2: 2, 3: 2, 4: 1}",1
653,False,"{'a': 0.002, 'e': 0.2636424661730887}",35,13,0.037438438508075045,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 0}",1
654,False,"{'a': 0.002, 'e': 0.2617126992356461}",35,13,-18.768065553399218,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
655,False,"{'a': 0.002, 'e': 0.25978188544775555}",30,13,30.39746295142188,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
656,False,"{'a': 0.002, 'e': 0.2578500325326696}",30,16,-6.589366915269049,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
657,False,"{'a': 0.002, 'e': 0.2559171482177973}",25,13,23.278454323050454,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
658,False,"{'a': 0.002, 'e': 0.2539832402346734}",25,8,-54.77444091919463,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 0}",1
659,False,"{'a': 0.002, 'e': 0.25204831631892716}",25,0,-15.870591851446635,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
660,False,"{'a': 0.002, 'e': 0.2501123842102517}",30,15,-10.222385676244116,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
661,False,"{'a': 0.002, 'e': 0.2481754516523729}",25,13,11.323663367994273,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
662,False,"{'a': 0.002, 'e': 0.24623752639301838}",20,7,-26.456336177153066,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 1}",1
663,False,"{'a': 0.002, 'e': 0.24429861618388662}",25,19,10.465518752201731,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
664,False,"{'a': 0.002, 'e': 0.24235872878061585}",30,22,13.60692062351998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
665,False,"{'a': 0.002, 'e': 0.2404178719427531}",25,0,3.1735266295635487,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
666,False,"{'a': 0.002, 'e': 0.23847605343372313}",20,15,-1.4775725532796566,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
667,False,"{'a': 0.002, 'e': 0.2365332810207974}",20,3,17.81824101351576,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
668,False,"{'a': 0.002, 'e': 0.23458956247506296}",30,14,7.111997789763364,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
669,False,"{'a': 0.002, 'e': 0.23264490557139142}",25,16,19.08851999351424,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
670,False,"{'a': 0.002, 'e': 0.2306993180884078}",30,19,22.103382063932933,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
671,False,"{'a': 0.002, 'e': 0.22875280780845939}",20,15,9.348606962853488,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
672,False,"{'a': 0.002, 'e': 0.22680538251758475}",30,15,-8.812684804317119,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
673,False,"{'a': 0.002, 'e': 0.22485705000548248}",25,17,8.697677094451596,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
674,False,"{'a': 0.002, 'e': 0.22290781806547996}",25,17,15.556273548718352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
675,False,"{'a': 0.002, 'e': 0.22095769449450242}",20,15,9.008664564067264,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
676,False,"{'a': 0.002, 'e': 0.2190066870930415}",25,0,24.85328581574311,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
677,False,"{'a': 0.002, 'e': 0.2170548036651242}",20,2,16.49227579974349,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
678,False,"{'a': 0.002, 'e': 0.21510205201828167}",25,13,10.340151369327865,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
679,False,"{'a': 0.002, 'e': 0.21314843996351787}",20,2,12.17070718990811,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
680,False,"{'a': 0.002, 'e': 0.2111939753152784}",20,14,9.797617334246057,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
681,False,"{'a': 0.002, 'e': 0.20923866589141926}",25,7,12.492302506915244,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
682,False,"{'a': 0.002, 'e': 0.20728251951317556}",25,3,12.76275073939338,"{0: 21, 1: 0, 2: 0, 3: 1, 4: 0}",1
683,False,"{'a': 0.002, 'e': 0.20532554400513015}",20,6,10.512607160449662,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
684,False,"{'a': 0.002, 'e': 0.2033677471951825}",20,6,5.516174989930764,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
685,False,"{'a': 0.002, 'e': 0.20140913691451723}",30,19,9.813202064410408,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
686,False,"{'a': 0.002, 'e': 0.19944972099757285}",20,16,7.911779842623715,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
687,False,"{'a': 0.002, 'e': 0.19748950728201042}",25,11,-18.804696703685437,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
688,False,"{'a': 0.002, 'e': 0.19552850360868218}",25,8,30.530888386386795,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
689,False,"{'a': 0.002, 'e': 0.1935667178216002}",20,2,10.161689320125236,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
690,False,"{'a': 0.002, 'e': 0.19160415776790501}",20,14,12.877364463585952,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
691,False,"{'a': 0.002, 'e': 0.18964083129783424}",20,12,1.9685297501066843,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
692,False,"{'a': 0.002, 'e': 0.18767674626469114}",25,4,11.386025602771456,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
693,False,"{'a': 0.002, 'e': 0.1857119105248132}",25,5,-69.43263711314282,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",1
694,False,"{'a': 0.002, 'e': 0.18374633193754078}",35,20,19.379057058836757,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
695,False,"{'a': 0.002, 'e': 0.18178001836518562}",20,10,17.508945031545792,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
696,False,"{'a': 0.002, 'e': 0.17981297767299936}",25,15,20.57755098209107,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
697,False,"{'a': 0.002, 'e': 0.17784521772914216}",35,13,21.62046354285834,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
698,False,"{'a': 0.002, 'e': 0.17587674640465117}",20,10,19.67148117959585,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
699,False,"{'a': 0.002, 'e': 0.17390757157340905}",25,19,9.144581534204683,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
700,False,"{'a': 0.002, 'e': 0.17193770111211254}",20,9,22.78995066132422,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
701,False,"{'a': 0.002, 'e': 0.16996714290024081}",25,3,-5.686405026133674,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
702,False,"{'a': 0.002, 'e': 0.1679959048200241}",25,11,27.799472176940935,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
703,False,"{'a': 0.002, 'e': 0.1660239947564121}",25,9,16.04132086655884,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
704,False,"{'a': 0.002, 'e': 0.16405142059704247}",30,20,18.070751892939604,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
705,False,"{'a': 0.002, 'e': 0.1620781902322094}",30,3,16.318577964841158,"{0: 25, 1: 1, 2: 0, 3: 1, 4: 0}",1
706,False,"{'a': 0.002, 'e': 0.16010431155483126}",20,13,7.690187752809706,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
707,False,"{'a': 0.002, 'e': 0.1581297924604204}",20,10,22.20410649373851,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
708,False,"{'a': 0.002, 'e': 0.15615464084705052}",25,19,10.017484622632741,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
709,False,"{'a': 0.002, 'e': 0.15417886461532546}",20,13,11.899583125279618,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
710,False,"{'a': 0.002, 'e': 0.15220247166834752}",20,14,-2.452037098823095,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
711,False,"{'a': 0.002, 'e': 0.15022546991168584}",20,3,20.984754209106907,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
712,False,"{'a': 0.002, 'e': 0.14824786725334482}",20,9,-15.233503478172178,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
713,False,"{'a': 0.002, 'e': 0.14626967160373244}",25,7,2.8731505228116756,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
714,False,"{'a': 0.002, 'e': 0.14429089087562869}",25,17,-26.74704128200109,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
715,False,"{'a': 0.002, 'e': 0.1423115329841538}",20,8,24.439218565959457,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
716,False,"{'a': 0.002, 'e': 0.14033160584673673}",20,16,6.85614212076472,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
717,False,"{'a': 0.002, 'e': 0.13835111738308337}",20,0,-17.424368883154752,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
718,False,"{'a': 0.002, 'e': 0.13637007551514496}",30,15,25.356918540134416,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
719,False,"{'a': 0.002, 'e': 0.13438848816708632}",25,17,-5.412035462227158,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
720,False,"{'a': 0.002, 'e': 0.1324063632652542}",20,10,8.076994748616105,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
721,False,"{'a': 0.002, 'e': 0.13042370873814554}",20,8,-22.943498691305965,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
722,False,"{'a': 0.002, 'e': 0.12844053251637585}",20,7,26.136229303985832,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
723,False,"{'a': 0.002, 'e': 0.12645684253264733}",25,12,17.69721630964692,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
