trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
401,False,"{'a': 0.002, 'e': 0.6967067093471654}",20,9,-43.89892376959686,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
402,False,"{'a': 0.002, 'e': 0.6952706047088867}",25,0,-63.21491202059031,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
403,False,"{'a': 0.002, 'e': 0.6938317189891162}",35,0,-181.74428825542532,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
404,False,"{'a': 0.002, 'e': 0.6923900579433949}",20,0,-30.224506547800114,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
405,False,"{'a': 0.002, 'e': 0.690945627338365}",25,7,-4.480535404810844,"{0: 13, 1: 5, 2: 0, 3: 0, 4: 0}",1
406,False,"{'a': 0.002, 'e': 0.689498432951747}",20,0,-58.99641823763537,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
407,False,"{'a': 0.002, 'e': 0.6880484805723165}",30,0,-53.124410209784216,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
408,False,"{'a': 0.002, 'e': 0.6865957759998811}",20,15,-30.969468047644547,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
409,False,"{'a': 0.002, 'e': 0.6851403250452572}",20,1,-84.25492632132624,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 1}",1
410,False,"{'a': 0.002, 'e': 0.6836821335302466}",20,0,-89.04609678154995,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
411,False,"{'a': 0.002, 'e': 0.6822212072876135}",30,11,-39.18990036847253,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
412,False,"{'a': 0.002, 'e': 0.6807575521610608}",25,17,-52.92592606884436,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
413,False,"{'a': 0.002, 'e': 0.6792911740052072}",35,14,-104.47395598598392,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 1}",1
414,False,"{'a': 0.002, 'e': 0.6778220786855633}",30,7,8.54640818429025,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 0}",1
415,False,"{'a': 0.002, 'e': 0.6763502720785084}",20,0,22.14253552483212,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
416,False,"{'a': 0.002, 'e': 0.674875760071267}",25,0,-169.44310995457184,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
417,False,"{'a': 0.002, 'e': 0.6733985485618852}",25,3,-67.49391184390103,"{0: 15, 1: 4, 2: 1, 3: 1, 4: 1}",1
418,False,"{'a': 0.002, 'e': 0.671918643459207}",30,7,-10.090893094963402,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 0}",1
419,False,"{'a': 0.002, 'e': 0.6704360506828508}",30,12,-62.19493808400663,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 1}",1
420,False,"{'a': 0.002, 'e': 0.6689507761631859}",20,0,5.418712326588782,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
421,False,"{'a': 0.002, 'e': 0.6674628258413081}",20,0,-10.731273419387996,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
422,False,"{'a': 0.002, 'e': 0.665972205669017}",25,16,-4.0522250254251535,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
423,False,"{'a': 0.002, 'e': 0.6644789216087912}",30,20,-31.706574992354717,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
424,False,"{'a': 0.002, 'e': 0.6629829796337648}",20,14,-4.5137803706966,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
425,False,"{'a': 0.002, 'e': 0.661484385727704}",20,0,-78.64484614692184,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
426,False,"{'a': 0.002, 'e': 0.6599831458849822}",25,3,-24.100913984158744,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 0}",1
427,False,"{'a': 0.002, 'e': 0.6584792661105568}",25,0,-21.80621613196085,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
428,False,"{'a': 0.002, 'e': 0.656972752419945}",20,1,-120.52878551469117,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 2}",1
429,False,"{'a': 0.002, 'e': 0.6554636108391995}",35,5,-37.63736688300903,"{0: 24, 1: 4, 2: 1, 3: 0, 4: 1}",1
430,False,"{'a': 0.002, 'e': 0.6539518474048844}",20,8,-43.21460397747187,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
431,False,"{'a': 0.002, 'e': 0.6524374681640519}",30,0,-87.22339170604538,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
432,False,"{'a': 0.002, 'e': 0.6509204791742165}",20,7,-2.675897115335345,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
433,False,"{'a': 0.002, 'e': 0.6494008865033323}",20,2,-113.61348872639856,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 2}",1
434,False,"{'a': 0.002, 'e': 0.647878696229768}",25,3,-61.27082187441349,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 1}",1
435,False,"{'a': 0.002, 'e': 0.6463539144422825}",30,0,-156.66799916602523,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
436,False,"{'a': 0.002, 'e': 0.6448265472400012}",20,0,-67.97825724575337,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
437,False,"{'a': 0.002, 'e': 0.6432966007323906}",20,0,-173.14642127419336,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
438,False,"{'a': 0.002, 'e': 0.6417640810392349}",30,21,-4.066023440180677,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
439,False,"{'a': 0.002, 'e': 0.6402289942906106}",20,15,-4.4652322316659685,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
440,False,"{'a': 0.002, 'e': 0.6386913466268629}",20,0,-104.09877307311045,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
441,False,"{'a': 0.002, 'e': 0.6371511441985802}",20,5,-7.004525331026285,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
442,False,"{'a': 0.002, 'e': 0.6356083931665703}",30,14,0.3119001182318466,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
